연도,역명,승차총승객수,하차총승객수,총이용량
2022,구로디지털단지,18363,18352,36715
2022,신대방,11652,11727,23379
2022,신림,29564,29162,58726
2022,봉천,9207,8941,18148
2022,사당,15292,16173,31465
2022,방배,4297,4484,8781
2022,교대,6678,7333,14011
2022,강남,26200,24977,51177
2022,삼성,15003,13937,28940
2022,잠실,35454,33619,69073
2022,잠실나루,3594,3660,7254
2022,구의,8872,8862,17734
2022,건대입구,21954,23039,44993
2022,성수,9220,10042,19262
2022,한양대,1359,1517,2876
2022,왕십리,6953,6214,13167
2022,상왕십리,5212,5043,10255
2022,신당,6015,6529,12544
2022,시청,4137,2961,7098
2022,이대,4692,4938,9630
2022,홍대입구,38842,38438,77280
2022,합정,13993,14840,28833
2022,당산,6288,7044,13332
2022,영등포구청,5631,5554,11185
2022,문래,5480,5672,11152
2022,신도림,18150,18655,36805
2022,대림,10717,11703,22420
2022,아현,3624,3682,7306
2022,충정로,2661,2761,5422
2022,용답,1334,1385,2719
2022,신설동,1801,1806,3607
2022,양천구청,2299,2518,4817
2022,용두,889,882,1771
2022,시청,4292,3507,7799
2022,용두,957,998,1955
2022,양천구청,2756,2825,5581
2022,신설동,2298,2550,4848
2022,용답,1387,1507,2894
2022,충정로,2847,3021,5868
2022,아현,4335,4418,8753
2022,이대,5374,6263,11637
2022,홍대입구,39667,39606,79273
2022,합정,16022,16990,33012
2022,당산,6727,7314,14041
2022,영등포구청,6306,6771,13077
2022,문래,5972,6236,12208
2022,신도림,21220,21784,43004
2022,대림,11906,12223,24129
2022,구로디지털단지,19473,20224,39697
2022,신대방,12379,12956,25335
2022,신림,30662,32909,63571
2022,봉천,9799,10421,20220
2022,사당,16722,18540,35262
2022,방배,5546,5866,11412
2022,교대,8357,9224,17581
2022,강남,28851,27608,56459
2022,삼성,17182,16571,33753
2022,잠실,41857,38814,80671
2022,잠실나루,4344,4411,8755
2022,구의,9237,9886,19123
2022,건대입구,22711,24285,46996
2022,성수,10290,11533,21823
2022,한양대,1657,1862,3519
2022,왕십리,7469,7281,14750
2022,상왕십리,5766,6122,11888
2022,신당,6697,7268,13965
2022,성수,35943,38199,74142
2022,한양대,6307,6803,13110
2022,왕십리,14002,12003,26005
2022,상왕십리,13203,13173,26376
2022,신당,12336,12754,25090
2022,시청,21695,20941,42636
2022,건대입구,31439,33647,65086
2022,구의,22114,22275,44389
2022,잠실나루,13491,13268,26759
2022,잠실,61246,61197,122443
2022,삼성,49525,49218,98743
2022,강남,82703,79988,162691
2022,교대,30745,34149,64894
2022,방배,15296,15833,31129
2022,사당,31943,35058,67001
2022,봉천,22172,21130,43302
2022,신림,58307,57981,116288
2022,신대방,24818,24584,49402
2022,구로디지털단지,57836,58202,116038
2022,대림,22887,23296,46183
2022,신도림,43237,42563,85800
2022,문래,20546,20798,41344
2022,영등포구청,21964,22510,44474
2022,당산,16916,19766,36682
2022,합정,27568,28398,55966
2022,홍대입구,46517,47843,94360
2022,이대,11485,12493,23978
2022,아현,9245,8964,18209
2022,충정로,9327,9866,19193
2022,용답,2440,2510,4950
2022,신설동,2976,3215,6191
2022,양천구청,6433,6816,13249
2022,용두,2135,2265,4400
2022,시청,23070,22229,45299
2022,신당,12945,13351,26296
2022,상왕십리,13619,13485,27104
2022,왕십리,14276,12336,26612
2022,한양대,6505,6818,13323
2022,성수,37495,40038,77533
2022,건대입구,32452,34172,66624
2022,구의,22797,22551,45348
2022,잠실나루,14197,13780,27977
2022,잠실,64568,64231,128799
2022,삼성,50807,50835,101642
2022,강남,85529,82798,168327
2022,교대,32445,36201,68646
2022,방배,15859,16496,32355
2022,사당,34043,36815,70858
2022,봉천,22886,21599,44485
2022,신림,60080,59323,119403
2022,신대방,25371,24933,50304
2022,구로디지털단지,58965,59323,118288
2022,대림,23123,23660,46783
2022,신도림,45116,44238,89354
2022,문래,21153,21415,42568
2022,영등포구청,22593,22925,45518
2022,당산,17526,20400,37926
2022,합정,29103,29992,59095
2022,홍대입구,49289,49959,99248
2022,이대,11844,12715,24559
2022,충정로,9570,10005,19575
2022,용답,2558,2563,5121
2022,신설동,3011,3166,6177
2022,양천구청,6620,7013,13633
2022,용두,2278,2314,4592
2022,아현,9557,9266,18823
2022,영등포구청,22749,23126,45875
2022,당산,17847,20544,38391
2022,합정,29420,30363,59783
2022,홍대입구,50074,51299,101373
2022,이대,12165,12863,25028
2022,아현,9670,9322,18992
2022,충정로,9583,10242,19825
2022,용답,2544,2648,5192
2022,신설동,3043,3168,6211
2022,양천구청,6528,6946,13474
2022,용두,2287,2329,4616
2022,시청,23273,22453,45726
2022,신당,13019,13689,26708
2022,상왕십리,13680,13352,27032
2022,왕십리,14859,12789,27648
2022,한양대,6340,6656,12996
2022,성수,37655,40372,78027
2022,건대입구,33043,35323,68366
2022,구의,23145,23105,46250
2022,잠실나루,13910,13614,27524
2022,잠실,64727,64090,128817
2022,삼성,51327,51487,102814
2022,강남,85391,82379,167770
2022,교대,32733,36418,69151
2022,방배,15866,16619,32485
2022,사당,34666,37483,72149
2022,봉천,23214,21790,45004
2022,신림,60772,59804,120576
2022,신대방,25306,24891,50197
2022,구로디지털단지,59242,59546,118788
2022,대림,23052,23603,46655
2022,신도림,45212,44424,89636
2022,문래,21009,21382,42391
2022,시청,23059,22320,45379
2022,신당,13257,13645,26902
2022,상왕십리,13966,13690,27656
2022,왕십리,14976,12878,27854
2022,한양대,6562,6864,13426
2022,성수,37858,40830,78688
2022,건대입구,33545,35694,69239
2022,구의,23268,22898,46166
2022,잠실나루,14187,13784,27971
2022,잠실,66777,66556,133333
2022,삼성,51897,52051,103948
2022,강남,86215,84876,171091
2022,교대,32862,36863,69725
2022,방배,15974,16705,32679
2022,사당,35198,38257,73455
2022,봉천,23149,21742,44891
