연도,역명,총승차,총하차,총이용량
2022,강남,26144333,25620317,51764650
2022,건대입구,12276102,13190542,25466644
2022,교대,10343221,11703582,22046803
2022,구로디지털단지,18450835,18369622,36820457
2022,구의,7648342,7495221,15143563
2022,당산,5923065,6850011,12773076
2022,대림,7930367,8120891,16051258
2022,문래,6777238,6989326,13766564
2022,방배,5522010,5733090,11255100
2022,봉천,7781007,7224393,15005400
2022,사당,12733082,14006679,26739761
2022,삼성,16806757,16877761,33684518
2022,상왕십리,4609692,4459925,9069617
2022,성수,11755273,12896419,24651692
2022,시청,7275581,6916730,14192311
2022,신당,4642230,4817142,9459372
2022,신대방,8541409,8273920,16815329
2022,신도림,15966447,15974956,31941403
2022,신림,19946559,19238017,39184576
2022,신설동,1227373,1176044,2403417
2022,아현,3423989,3255144,6679133
2022,양천구청,2220039,2287006,4507045
2022,영등포구청,6866166,7103552,13969718
2022,왕십리,5491008,4613927,10104935
2022,용답,979182,980029,1959211
2022,용두,775326,778596,1553922
2022,이대,4760922,5066470,9827392
2022,잠실,25040626,24620229,49660855
2022,잠실나루,4534929,4419739,8954668
2022,충정로,3103859,3299836,6403695
2022,한양대,3403307,3727438,7130745
2022,합정,10613327,11462977,22076304
2022,홍대입구,20953932,22300019,43253951
2023,강남,27273632,26371327,53644959
2023,건대입구,13088753,13878495,26967248
2023,교대,10418259,12345410,22763669
2023,구로디지털단지,19486741,19261576,38748317
2023,구의,8312673,8091412,16404085
2023,당산,6269169,7246712,13515881
2023,대림,8487835,8682856,17170691
2023,문래,7343681,7577233,14920914
2023,방배,5843478,6038286,11881764
2023,봉천,8282459,7708656,15991115
2023,사당,13926134,15283205,29209339
2023,삼성,18732996,18767311,37500307
2023,상왕십리,4941798,4774237,9716035
2023,성수,13500413,14869010,28369423
2023,시청,8566569,8026150,16592719
2023,신당,5090386,5337857,10428243
2023,신대방,8929110,8616343,17545453
2023,신도림,17354933,17095784,34450717
2023,신림,19429181,18641600,38070781
2023,신설동,1326854,1299604,2626458
2023,아현,3767833,3519113,7286946
2023,양천구청,2377111,2483747,4860858
2023,영등포구청,7225920,7421852,14647772
2023,왕십리,5570217,4904078,10474295
2023,용답,1026632,1021284,2047916
2023,용두,846126,838852,1684978
2023,이대,5672559,6138615,11811174
2023,잠실,27690335,27369378,55059713
2023,잠실나루,5057712,4912980,9970692
2023,충정로,3395320,3583056,6978376
2023,한양대,3740147,4118606,7858753
2023,합정,11572028,12645430,24217458
2023,홍대입구,24705948,26530134,51236082
2024,강남,27644280,27038435,54682715
2024,건대입구,13290871,13948516,27239387
2024,교대,10365199,12444658,22809857
2024,구로디지털단지,19499321,19269249,38768570
2024,구의,8721858,8459587,17181445
2024,당산,6287885,7239146,13527031
2024,대림,8616581,8795816,17412397
2024,문래,7778674,8038073,15816747
2024,방배,5763126,5926276,11689402
2024,봉천,8462361,7910077,16372438
2024,사당,14684492,15756701,30441193
2024,삼성,18720978,18787144,37508122
2024,상왕십리,5050084,4937900,9987984
2024,성수,15330877,16804155,32135032
2024,시청,8984313,8415494,17399807
2024,신당,5281542,5557368,10838910
2024,신대방,8954030,8616778,17570808
2024,신도림,18028074,17677985,35706059
2024,신림,19387742,18722261,38110003
2024,신설동,1358925,1324110,2683035
2024,아현,3855201,3589276,7444477
2024,양천구청,2376538,2487694,4864232
2024,영등포구청,7603768,7823030,15426798
2024,왕십리,5626496,5100199,10726695
2024,용답,1059849,1049403,2109252
2024,용두,883932,893566,1777498
2024,이대,5871883,6434841,12306724
2024,잠실,28767187,28282024,57049211
2024,잠실나루,5133203,4983430,10116633
2024,충정로,3457097,3648622,7105719
2024,한양대,3830007,4206371,8036378
2024,합정,11681748,12706957,24388705
2024,홍대입구,26364140,28457718,54821858
2025,강남,27981409,27466534,55447943
2025,건대입구,13465381,13987781,27453162
2025,교대,10303014,12379769,22682783
2025,구로디지털단지,19579651,19378278,38957929
2025,구의,9251870,9067099,18318969
2025,당산,6473820,7320393,13794213
2025,대림,8595978,8782146,17378124
2025,문래,7962659,8230891,16193550
2025,방배,5870880,6010778,11881658
2025,봉천,8625292,8099898,16725190
2025,사당,15128490,16287181,31415671
2025,삼성,18932081,18974686,37906767
2025,상왕십리,5035394,4951661,9987055
2025,성수,17939871,19364906,37304777
2025,시청,9158306,8488346,17646652
2025,신당,5314142,5544326,10858468
2025,신대방,8881560,8498055,17379615
2025,신도림,17744786,17113341,34858127
2025,신림,19573082,19138494,38711576
2025,신설동,1394453,1369984,2764437
2025,아현,3861850,3633759,7495609
2025,양천구청,2357719,2469180,4826899
2025,영등포구청,7760782,8027229,15788011
2025,왕십리,5674686,5223604,10898290
2025,용답,1071792,1057235,2129027
2025,용두,905024,908948,1813972
2025,이대,5997443,6504423,12501866
